"id","to","from","activate","created_at","updated_at"
"1","1","2","1","2016-01-15 06:27:21 +0900","2016-01-15 06:27:21 +0900"
"2","10","2","1","2016-01-22 05:25:48 +0900","2016-01-22 05:25:59 +0900"
