"id","title","hope","budget","area","season","wish_contact","point","isPublic","company_id","top_profile_image","created_at","updated_at"
"1","私たちの理念""生活者が実現できる形で日本を良くする""に該当する団体様募集！","<p>初めまして。</p><p>TASUKI株式会社のCSR担当です。</p><p>この度は2016年度の活動に向けて、</p><p>私たちの社会貢献活動理念<span style=""color: rgb(0, 0, 0); font-size: 18px;"">""生活者が実現できる形で日本を良くする""</span><span style=""font-size: 14px; color: rgb(99, 99, 99);"">に</span></p><p><span style=""font-size: 14px; color: rgb(99, 99, 99);"">ご協力いただける</span><span style=""color: rgb(99, 99, 99);"">パートナー団体様を募集しています。</span></p><p><span style=""color: rgb(99, 99, 99);"">活動のジャンルは問わず、活動内容の報告は月1回以上でお願いしたいと考えています。</span></p><p><span style=""color: rgb(99, 99, 99);"">また、""生活者が実現できる""という部分を重要視したいため、</span></p><p><span style=""color: rgb(99, 99, 99);"">協働イベントの開催や各メディアへのプレスリリースなども想定しています。</span></p><p><span style=""color: rgb(99, 99, 99);"">是非ご提案のほどよろしくお願いいたします！</span></p><p><br></p>","0","日本全国/本社は東京都渋谷区","2016年4月から2017年3月まで","まずはメールでご連絡ください。","<p>・どのように生活者に実感させられるか、について具体的なプランが有るか</p><p>・社会インパクトが強い活動内容を行われているか</p><p>予算内で具体的に、どのようなことができるか具体的なプランをご提案いただけますと幸いでございます。</p>","1","1","","2016-01-13 04:25:42 +0900","2016-01-13 04:41:58 +0900"
"2","タイトル","<p>トクチャ</p>","1000","東京","1ヶ月","メール","<p>サントリー</p>","1","2","","2016-01-13 08:29:19 +0900","2016-01-13 08:29:44 +0900"
